福原綾香,渋谷凛,2012/3/23,1989/12/31
五十嵐裕美,双葉杏,2012/3/23,1986/12/13
大坪由佳,三村かな子,2012/3/23,1993/6/11
早見沙織,高垣楓,2012/3/23,1991/5/29
山本希望,城ヶ崎莉嘉,2012/3/23,1988/8/9
内田真礼,神崎蘭子,2012/4/25,1989/12/27
高森奈津美,前川みく,2012/5/2,1987/2/14
松嵜麗,諸星きらり,2012/5/9,1985/5/31
佳村はるか,城ヶ崎美嘉,2012/5/16,/2/14
大橋彩香,島村卯月,2012/5/25,1994/9/13
津田美波,小日向美穂,2012/11/27,1989/6/8
青木瑠璃子,多田李衣菜,2012/11/27,1990/3/24
原田ひとみ,十時愛梨,2012/11/27,/11/18
東山奈央,川島瑞樹,2012/11/27,1992/3/11
原紗友里,本田未央,2012/11/27,1988/11/5
赤崎千夏,日野茜,2013/04/12,1987/8/10
黒沢ともよ,赤城みりあ,2013/4/12,1996/4/10
三宅麻理恵,安部菜々,2013/3/29,1985/6/7
洲崎綾,新田美波,2013/3/29,1986/12/25
竹達彩奈,輿水幸子,2013/4/12,1989/6/23
牧野由依,佐久間まゆ,2013/9/6,1986/1/19
桜咲千依,白坂小梅,2013/6/30,/2/12
大空直美,緒方智絵里,2013/6/30,/2/4
上坂すみれ,アナスタシア,2013/6/14,1991/12/19
金子有希,高森藍子,2013/9/6,1987/1/19
松田颯水,星輝子,2014/1/31,1993/7/17
松井恵理子,神谷奈緒,2014/2/28,1989/3/8
渕上舞,北条加蓮,2014/2/28,/5/28
立花理香,小早川紗枝,2014/2/28,1987/2/27
鈴木絵理,堀裕子,2014/2/28,/6/22
市道真央,鷺沢文香,2014/6/29,1992/2/1
杜野まこ,姫川友紀,2014/5/31,1987/1/24
高野麻美,宮本フレデリカ,2014/11/19,/10/25
飯田友子,速水奏,2014/11/19,1992/9/9
久野美咲,市原仁奈,2014/11/19,1993/1/19
佐藤亜美菜,橘ありす,2014/12/25,1990/10/16
和氣あず未,片桐早苗,2015/2/7,1994/9/8
藍原ことみ,一ノ瀬志希,2015/6/27,1990/5/2
ルゥティン,塩見周子,2015/6/8,1993/12/21
照井春佳,櫻井桃華,2015/8/8,1987/3/7
山下七海,大槻唯,2015/3/21,1995/7/19
下地紫野,中野有香,2015/3/21,1993/6/4
青木志貴,二宮飛鳥,2016/1/31,1990/1/14
木村珠莉,相葉夕美,2015/6/20,/6/7
種崎敦美,五十嵐響子,2016/2/5,/9/27
中島由貴_(声優),乙倉悠貴,2017/2/28,1997/9/12
千菅春香,松永涼,2015/8/22,1992/1/23
高田憂希,依田芳乃,2016/8/5,1993/3/16
原優子,向井拓海,2015/7/4,1992/6/13
原田彩楓,三船美優,2016/7/22,1997/12/23
高橋花林,森久保乃々,2016/7/29,1994/9/9
花守ゆみり,佐藤心,2016/7/31,1997/9/29
鈴木みのり_(声優),藤原肇,2017/8/31,1997/10/1
武田羅梨沙多胡,喜多見柚,2017/9/25,/9/30
会沢紗弥,関裕美,2017/9/30,1999/9/9
田辺留依,荒木比奈,2017/10/19,1997/5/23
今井麻夏,佐々木千枝,2015/1/17,1987/6/23
長島光那,上条春菜,2015/1/17,1989/5/30
のぐちゆり,及川雫,2015/2/7,1992/12/24
村中知,大和亜季,2015/2/7,1989/12/15
藤田茜,水本ゆかり,2015/3/21,1993/1/26
都丸ちよ,椎名法子,2015/3/21,1991/9/28
金子真由美_(声優),藤本里奈,2015/3/21,/7/19
新田ひより,道明寺歌鈴,2015/7/18,1997/7/1
安野希世乃,木村夏樹,2015/7/18,1989/7/9
嘉山未紗,脇山珠美,2015/8/1,/1/24
春野ななみ,上田鈴帆,2015/8/1,1993/12/17
田澤茉純,浜口あやめ,2015/8/1,/11/22
伊達朱里紗,難波笑美,2015/8/1,/5/10
春瀬なつみ,龍崎薫,2015/8/8,1994/6/17
朝井彩加,早坂美玲,2017/3/21,1992/5/11
